objectID,dimensionType,dimension,unitName
109,height,128.0,centimeters
110,width,100.0,centimeters
110,height,126.0,centimeters
560,width,63.7,centimeters
560,height,76.2,centimeters
566,width,63.5,centimeters
566,height,76.2,centimeters
984,width,105.4,centimeters
984,height,133.4,centimeters
989,width,114.6,centimeters
989,height,129.6,centimeters
1095,width,55.7,centimeters
1095,height,71.1,centimeters
1097,width,46.0,centimeters
1097,height,56.0,centimeters
1098,width,66.0,centimeters
1098,height,77.5,centimeters
1108,width,61.5,centimeters
1108,height,74.0,centimeters
1109,width,64.0,centimeters
1109,height,77.0,centimeters
1124,width,51.0,centimeters
1124,height,61.0,centimeters
1125,width,69.5,centimeters
1125,height,90.5,centimeters
1127,width,43.5,centimeters
1127,height,51.0,centimeters
1129,width,63.8,centimeters
1129,height,76.1,centimeters
1130,width,57.0,centimeters
1130,height,66.4,centimeters
1131,width,52.0,centimeters
1131,height,62.7,centimeters
1132,width,64.0,centimeters
1132,height,84.0,centimeters
1134,width,63.5,centimeters
1134,height,76.3,centimeters
1135,width,63.4,centimeters
1135,height,76.4,centimeters
1161,width,63.5,centimeters
1161,height,76.0,centimeters
1233,width,84.1,centimeters
1233,height,122.5,centimeters
1213,width,101.5,centimeters
1213,height,127.0,centimeters
1215,width,64.0,centimeters
1215,height,76.0,centimeters
1239,width,102.3,centimeters
1239,height,124.7,centimeters
3153,width,72.1,centimeters
3153,height,91.9,centimeters
3158,width,73.5,centimeters
3158,height,91.8,centimeters
3206,width,84.2,centimeters
3206,height,101.7,centimeters
3209,width,64.0,centimeters
3209,height,76.0,centimeters
30213,width,65.0,centimeters
30213,height,54.4,centimeters
30215,width,66.0,centimeters
30215,height,81.0,centimeters
30216,width,50.5,centimeters
30216,height,61.5,centimeters
30229,width,71.1,centimeters
30229,height,91.2,centimeters
30345,width,119.5,centimeters
30345,height,144.8,centimeters
30744,width,59.8,centimeters
30744,height,77.7,centimeters
32581,width,54.2,centimeters
32581,height,64.5,centimeters
32591,width,73.5,centimeters
32591,height,91.8,centimeters
33962,width,71.0,centimeters
33962,height,91.7,centimeters
34045,width,70.3,centimeters
34045,height,91.3,centimeters
34050,width,68.6,centimeters
34050,height,86.3,centimeters
34051,width,63.5,centimeters
34051,height,76.2,centimeters
34052,width,63.5,centimeters
34052,height,75.5,centimeters
34070,width,101.6,centimeters
34070,height,127.2,centimeters
34055,width,56.2,centimeters
