parentObjectID,childObjectID,relationship
75874,75875,inseparable
74207,74208,inseparable
122158,144460,inseparable
112464,112465,inseparable
51433,51434,inseparable
122826,144502,inseparable
143762,152254,inseparable
138323,152352,inseparable
122989,144519,inseparable
75780,75781,inseparable
134210,144535,inseparable
156455,164224,separable
74233,74234,inseparable
47244,47245,inseparable
139133,144646,inseparable
93056,93057,inseparable
69966,69967,inseparable
74185,74186,inseparable
133678,133681,separable
41633,41636,separable
41652,41653,separable
136962,137517,separable
197326,213037,separable
164740,110073,separable
118859,118860,inseparable
48733,48734,inseparable
106736,106737,inseparable
218993,221435,separable
69224,69225,inseparable
156455,164226,separable
164238,165973,inseparable
103715,103716,inseparable
73448,73449,inseparable
122611,144490,inseparable
75843,75845,inseparable
122991,144520,inseparable
159418,167943,inseparable
42802,42803,inseparable
74194,74195,inseparable
71461,71462,inseparable
218993,221429,separable
62998,62999,inseparable
55417,55418,inseparable
57613,57614,inseparable
62994,62995,inseparable
124424,124428,separable
63052,63053,inseparable
143660,151227,inseparable
206126,6,separable
69958,142964,inseparable
128582,128583,inseparable
70236,70237,inseparable
67672,67673,inseparable
4765,4766,inseparable
122166,144461,inseparable
46747,46748,inseparable
56583,56584,inseparable
69097,69098,inseparable
42949,42950,inseparable
194572,206499,inseparable
119190,119191,inseparable
50758,50759,inseparable
33974,33975,inseparable
214236,214237,separable
108925,159380,inseparable
218993,221425,separable
486,488,separable
65728,65729,inseparable
122424,144476,inseparable
142573,208255,inseparable
131875,131876,inseparable
51427,51428,inseparable
123152,124414,separable
34594,34595,inseparable
169451,206649,inseparable
184830,206504,inseparable
121967,144451,inseparable
57634,57635,inseparable
83993,83994,inseparable
164738,116407,separable
98205,98206,inseparable
58715,58716,inseparable
124618,124619,inseparable
34694,34695,inseparable
133678,133683,separable
110655,110656,inseparable
53997,53998,inseparable
98293,105876,separable
11309,144444,inseparable
75843,75844,inseparable
74978,74985,inseparable
214236,214235,separable
66557,66560,inseparable
218993,221422,separable
74225,74226,inseparable
69119,69120,inseparable
143763,151233,inseparable
41623,41624,separable
164737,125317,separable
164864,131057,separable
206125,37633,separable
1154,1155,separable
143712,150306,inseparable
106386,106387,inseparable
54192,54193,inseparable
94956,94957,inseparable
69243,69244,inseparable
76174,76175,inseparable
123151,124435,separable
123179,124457,separable
93054,93055,inseparable
162307,162867,inseparable
98220,98221,inseparable
58192,58193,inseparable
71378,71379,inseparable
74247,74248,inseparable
63156,63157,inseparable
130850,130851,inseparable
122628,144492,inseparable
10,282,separable
141599,120709,separable
66485,66486,inseparable
39979,39980,inseparable
56587,56588,inseparable
142946,149642,inseparable
57049,57050,inseparable
197353,206582,inseparable
