objectID,constituentID,displayOrder,roleType,role
50645,1113,1,artist,artist
50649,1113,1,artist,artist
50650,1113,1,artist,artist
50652,1113,1,artist,artist
50658,1113,1,artist,artist
50659,1113,1,artist,artist
50661,1368,1,artist,artist
50688,1289,1,artist,painter
50747,1278,1,artist,artist
50845,1444,1,artist,painter
51088,1444,1,artist,painter
51091,2819,1,artist,artist
51142,227,1,artist,artist
51143,227,1,artist,artist
52079,1881,1,artist,painter
52080,1073,1,artist,artist
52081,1073,1,artist,artist
52086,1968,1,artist,painter
52106,1348,1,artist,painter
52153,979,1,artist,artist
52142,1416,1,artist,artist
52147,979,1,artist,artist
52148,979,1,artist,artist
52150,979,1,artist,artist
52151,979,1,artist,artist
52152,979,1,artist,artist
52155,979,1,artist,artist
52172,1223,1,artist,artist
52174,1252,1,artist,artist
52175,1252,1,artist,artist
52176,1252,1,artist,artist
52224,1842,1,artist,artist
52253,1264,1,artist,artist
52230,1943,1,artist,artist
52231,1943,1,artist,artist
52232,1943,1,artist,artist
52233,1943,1,artist,artist
52235,1960,1,artist,artist
52252,1264,1,artist,artist
52260,2832,1,artist,painter
52264,5636,1,artist,painter
52268,1480,1,artist,painter
52270,1723,1,artist,artist
52271,1723,1,artist,artist
52272,1723,1,artist,artist
52273,1723,1,artist,artist
52324,1421,1,artist,artist
52350,1460,1,artist,artist
52358,1496,1,artist,artist
52362,1752,1,artist,artist
52376,1375,1,artist,painter
52377,1406,1,artist,artist
52380,1876,1,artist,artist
52382,1375,1,artist,painter
52391,1821,1,artist,artist
52392,1828,1,artist,artist
52398,1891,1,artist,artist
52399,1228,1,artist,painter
52445,1937,1,artist,painter
52614,1725,1,artist,artist
52948,1295,1,artist,artist
52949,1299,1,artist,artist
52958,2819,1,artist,artist
52960,1942,1,artist,artist
52965,1942,1,artist,artist
52967,13,1,artist,painter
52967,1976,2,artist,artist after
52968,1392,1,artist,artist
53080,1180,1,artist,artist
53100,1883,1,artist,painter
53082,1376,1,artist,artist
53083,1438,1,artist,artist
53084,1439,1,artist,artist
53085,1707,1,artist,artist
53086,1719,1,artist,artist
53087,1889,1,artist,artist
53088,1916,1,artist,artist
53090,1966,1,artist,artist
53091,1438,1,artist,artist
53118,1223,1,artist,artist
53128,1223,1,artist,artist
53132,1444,1,artist,painter
53133,1444,1,artist,painter
53134,1444,1,artist,painter
53135,1444,1,artist,painter
53136,1706,1,artist,artist
53137,1783,1,artist,artist
53377,1419,1,artist,artist
53378,1783,1,artist,artist
53579,1945,1,artist,artist
53580,1418,1,artist,artist
53581,1743,1,artist,artist
53587,1706,1,artist,artist
53588,1117,1,artist,artist
53589,1468,1,artist,artist
53814,1706,1,artist,artist
53816,1706,1,artist,artist
53818,1385,1,artist,artist
53819,1385,1,artist,artist
54133,1487,1,artist,artist
54134,1776,1,artist,artist
54137,1776,1,artist,artist
54138,1776,1,artist,artist
54181,1990,1,artist,painter
54182,1164,1,artist,artist
54183,1824,1,artist,artist
54184,1214,1,artist,artist
54370,1893,1,artist,artist
54374,1941,1,artist,artist
54758,1474,1,artist,painter
54759,973,1,artist,artist
55371,953,1,artist,painter
55507,1282,1,artist,artist
55597,870,1,artist,artist
55598,870,1,artist,artist
55599,870,1,artist,artist
55600,870,1,artist,artist
55601,870,1,artist,artist
55602,1889,1,artist,artist
55603,1753,1,artist,artist
55604,1864,1,artist,artist
55605,1884,1,artist,artist
55740,1926,1,artist,artist
55741,132,1,artist,artist
55781,2830,1,artist,painter
55783,1260,1,artist,artist
55819,1793,1,artist,artist
55844,1200,1,artist,artist
56110,1496,1,artist,painter
56231,949,1,artist,artist
56335,1721,1,artist,artist
56385,1985,1,artist,artist
56508,1171,1,artist,artist
56509,1257,1,artist,artist
56510,1414,1,artist,artist
56511,1486,1,artist,artist
56512,1795,1,artist,artist
56570,1106,1,artist,artist
56615,1738,1,artist,artist
56660,1756,1,artist,artist
56661,1710,1,artist,artist
56727,1162,1,artist,painter
56728,1118,1,artist,artist
56735,1425,1,artist,artist
56737,5518,1,artist,painter
56746,5518,1,artist,painter
56747,2818,1,artist,painter
56748,1942,1,artist,artist
56935,1351,1,artist,artist
56936,1351,1,artist,artist
56937,1351,1,artist,artist
57103,1753,1,artist,artist
57104,1903,1,artist,artist
57460,1889,1,artist,artist
57515,1214,1,artist,artist
57652,1315,1,artist,artist
59882,1942,1,artist,painter
59886,1942,1,artist,artist
59899,1255,1,artist,artist
59888,1942,1,artist,artist
59890,2819,1,artist,painter
59894,348,1,artist,painter
59897,1118,1,artist,artist
59903,2818,1,artist,painter
59917,2818,1,artist,artist
59907,1396,1,artist,painter
59914,1869,1,artist,artist
59918,1942,1,artist,artist
59922,1942,1,artist,artist
59928,2818,1,artist,painter
59936,1121,1,artist,painter
59963,1773,1,artist,painter
59964,1255,1,artist,painter
60330,1753,1,artist,artist
60661,1721,1,artist,artist
60783,1783,1,artist,artist
61061,1957,1,artist,artist
61064,1320,1,artist,artist
61104,1982,1,artist,painter
61105,1982,1,artist,painter
61106,1783,1,artist,artist
61172,2097,1,artist,artist
61173,1903,1,artist,artist
61214,1903,1,artist,artist
61216,978,1,artist,artist
61249,1223,1,artist,artist
61318,1966,1,artist,artist
61387,3305,1,artist,artist
61354,940,1,artist,painter
61372,2594,1,artist,artist
61384,3119,1,artist,painter
61385,3305,1,artist,artist
61386,3305,1,artist,artist
62528,4711,1,artist,artist
62617,5563,1,artist,artist
62618,5564,1,artist,artist
62619,1793,1,artist,artist
62638,1942,1,artist,artist
63265,5633,1,artist,artist
63266,13,1,artist,painter
63266,1334,2,artist,artist after
98834,3053,1,artist,painter
64415,5761,1,artist,artist
64418,5661,1,artist,artist
64541,5760,1,artist,artist
64542,1218,1,artist,artist
65585,5777,1,artist,artist
65606,3477,1,artist,artist
65714,2592,1,artist,artist
65897,2242,1,artist,artist
65911,1839,1,artist,painter
65910,1839,1,artist,painter
65912,1839,1,artist,painter
65913,1839,1,artist,painter
65914,1839,1,artist,painter
65915,1839,1,artist,painter
66241,4126,1,artist,artist
66412,1252,1,artist,artist
66435,1842,1,artist,artist
66403,1027,1,artist,artist
66410,1223,1,artist,artist
66411,1252,1,artist,artist
66422,2638,1,artist,artist
66423,1706,1,artist,artist
66438,1943,1,artist,artist
66440,1960,1,artist,artist
66442,5989,1,artist,artist
66766,3969,1,artist,artist
67350,1839,1,artist,painter
67357,1839,1,artist,painter
67358,1839,1,artist,painter
67359,1839,1,artist,painter
67360,1839,1,artist,painter
67361,1839,1,artist,painter
67362,1839,1,artist,painter
67363,1839,1,artist,painter
67364,1839,1,artist,painter
67365,1839,1,artist,painter
67366,1839,1,artist,painter
67367,1839,1,artist,painter
67368,1839,1,artist,painter
67369,1839,1,artist,painter
67370,1839,1,artist,painter
67371,1839,1,artist,painter
67372,1839,1,artist,painter
67373,1839,1,artist,painter
67374,1839,1,artist,painter
67375,1839,1,artist,painter
67376,1839,1,artist,painter
67377,1839,1,artist,painter
67378,1839,1,artist,painter
67379,1839,1,artist,painter
67380,1839,1,artist,painter
67381,1839,1,artist,painter
67382,1839,1,artist,painter
67383,1839,1,artist,painter
67384,1839,1,artist,painter
67385,1839,1,artist,painter
67386,1839,1,artist,painter
67387,1839,1,artist,painter
67388,1839,1,artist,painter
67389,1839,1,artist,painter
67390,1839,1,artist,painter
67391,1839,1,artist,painter
67392,1839,1,artist,painter
67393,1839,1,artist,painter
67394,1839,1,artist,painter
67395,1839,1,artist,painter
67396,1839,1,artist,painter
67397,1839,1,artist,painter
67398,1839,1,artist,painter
67399,1839,1,artist,painter
67400,1839,1,artist,painter
67401,1839,1,artist,painter
67402,1839,1,artist,painter
67412,1839,1,artist,painter
67444,1839,1,artist,painter
67403,1839,1,artist,painter
67404,1839,1,artist,painter
67405,1839,1,artist,painter
67406,1839,1,artist,painter
67407,1839,1,artist,painter
67408,1839,1,artist,painter
67409,1839,1,artist,painter
67410,1839,1,artist,painter
67411,1839,1,artist,painter
67413,1839,1,artist,painter
67414,1839,1,artist,painter
67415,1839,1,artist,painter
67416,1839,1,artist,painter
67417,1839,1,artist,painter
67418,1839,1,artist,painter
67419,1839,1,artist,painter
67420,1839,1,artist,painter
67421,1839,1,artist,painter
67422,1839,1,artist,painter
67423,1839,1,artist,painter
67424,1839,1,artist,painter
67425,1839,1,artist,painter
67426,1839,1,artist,painter
67427,1839,1,artist,painter
67428,1839,1,artist,painter
67429,1839,1,artist,painter
67430,1839,1,artist,painter
67431,1839,1,artist,painter
67432,1839,1,artist,painter
67434,1839,1,artist,painter
67435,1839,1,artist,painter
67437,1839,1,artist,painter
67438,1839,1,artist,painter
67439,1839,1,artist,painter
67440,1839,1,artist,painter
67441,1839,1,artist,painter
67442,1839,1,artist,painter
67443,1839,1,artist,painter
67445,1839,1,artist,painter
67446,1839,1,artist,painter
67447,1839,1,artist,painter
67448,1839,1,artist,painter
67449,1839,1,artist,painter
67450,1839,1,artist,painter
67451,1839,1,artist,painter
67452,1839,1,artist,painter
67453,1839,1,artist,painter
67454,1839,1,artist,painter
67455,1839,1,artist,painter
67456,1839,1,artist,painter
67457,1839,1,artist,painter
67458,1839,1,artist,painter
67459,1839,1,artist,painter
67460,1839,1,artist,painter
67461,1839,1,artist,painter
67462,1839,1,artist,painter
67463,1839,1,artist,painter
67464,1839,1,artist,painter
67465,1839,1,artist,painter
67466,1839,1,artist,painter
67467,1839,1,artist,painter
67468,1839,1,artist,painter
67469,1839,1,artist,painter
67470,1839,1,artist,painter
67471,1839,1,artist,painter
67472,1839,1,artist,painter
67473,1839,1,artist,painter
67474,1839,1,artist,painter
67475,1839,1,artist,painter
67476,1839,1,artist,painter
67477,1839,1,artist,painter
67478,1839,1,artist,painter
67479,1839,1,artist,painter
67480,1839,1,artist,painter
67481,1839,1,artist,painter
67482,1839,1,artist,painter
67483,1839,1,artist,painter
67484,1839,1,artist,painter
67485,1839,1,artist,painter
67486,1839,1,artist,painter
67487,1839,1,artist,painter
67488,1839,1,artist,painter
67489,1839,1,artist,painter
67490,1839,1,artist,painter
67491,1839,1,artist,painter
67492,1839,1,artist,painter
67524,1839,1,artist,painter
67495,1839,1,artist,painter
67497,1839,1,artist,painter
67498,1839,1,artist,painter
67500,1839,1,artist,painter
67501,1839,1,artist,painter
67502,1839,1,artist,painter
67509,1839,1,artist,painter
67510,1839,1,artist,painter
67511,1839,1,artist,painter
67512,1839,1,artist,painter
67514,1839,1,artist,painter
67515,1839,1,artist,painter
67516,1839,1,artist,painter
67517,1839,1,artist,painter
67519,1839,1,artist,painter
67520,1839,1,artist,painter
67521,1839,1,artist,painter
67522,1839,1,artist,painter
67523,1839,1,artist,painter
67525,1839,1,artist,painter
67526,1839,1,artist,painter
67527,1839,1,artist,painter
67528,1839,1,artist,painter
67529,1839,1,artist,painter
67530,1839,1,artist,painter
67531,1839,1,artist,painter
67917,2643,1,artist,painter
67918,2643,1,artist,painter
67919,2643,1,artist,painter
67920,2643,1,artist,painter
67921,2643,1,artist,painter
67922,2643,1,artist,painter
67923,2643,1,artist,painter
67924,2643,1,artist,painter
67925,2643,1,artist,painter
67926,2643,1,artist,painter
67927,2643,1,artist,painter
67928,2643,1,artist,painter
69269,1839,1,artist,artist
69270,1839,1,artist,artist
69271,1839,1,artist,artist
69272,1839,1,artist,artist
69273,1839,1,artist,artist
69274,1839,1,artist,artist
69275,1839,1,artist,artist
69276,1839,1,artist,artist
69277,1839,1,artist,artist
69278,1839,1,artist,artist
69279,1839,1,artist,artist
69280,1839,1,artist,artist
69281,1839,1,artist,artist
69282,1839,1,artist,artist
69283,1839,1,artist,artist
69284,1839,1,artist,artist
69371,2664,1,artist,artist
69372,2664,1,artist,artist
69373,2664,1,artist,artist
69374,2664,1,artist,artist
69375,2664,1,artist,artist
69376,2664,1,artist,artist
69377,2664,1,artist,artist
69378,2664,1,artist,artist
69379,2664,1,artist,artist
69380,2664,1,artist,artist
69381,2664,1,artist,artist
69382,2664,1,artist,artist
69383,2664,1,artist,artist
69384,2664,1,artist,artist
69385,2664,1,artist,artist
69388,3930,1,artist,artist
69414,6148,1,artist,artist
69637,6157,1,artist,artist
69660,1721,1,artist,artist
69661,2643,1,artist,painter
70170,2638,1,artist,artist
70177,2311,1,artist,painter
70178,2311,1,artist,painter
70179,2311,1,artist,painter
70180,2311,1,artist,painter
70181,2311,1,artist,painter
70182,2311,1,artist,painter
70183,2311,1,artist,painter
70184,2311,1,artist,painter
70186,6526,1,artist,artist
70525,2664,1,artist,artist
70526,2664,1,artist,artist
70527,2664,1,artist,artist
70528,2664,1,artist,artist
70529,2664,1,artist,artist
70782,1821,1,artist,artist
70808,6610,1,artist,painter
71026,2755,1,artist,painter
71072,1783,1,artist,artist
71328,6669,1,artist,artist
71370,6676,1,artist,artist
71479,4711,1,artist,painter
71565,6708,1,artist,artist
71593,1968,1,artist,painter
71599,6711,1,artist,artist
71809,2571,1,artist,painter
72026,1903,1,artist,artist
72010,2724,1,artist,artist
72011,6669,1,artist,artist
72039,1966,1,artist,artist
72040,3185,1,artist,painter
72045,6721,1,artist,artist
72164,1260,1,artist,artist
72169,1475,1,artist,artist
